,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
6611213,Alicante International Airport,38.28219986,-0.558156013,Zomer,1260763.2893116449,orange,1.4008480992351608,24.050885954109656,3.053157246579416
6719282,Bilbao Airport,43.30110168,-2.910609961,Herfst,1008401.7118514248,green,1.120446346501583,7.226780790094985,13.606847405699082
6719283,Bilbao Airport,43.30110168,-2.910609961,Lente,1008401.7118514248,orange,1.120446346501583,7.226780790094985,13.606847405699082
6719284,Bilbao Airport,43.30110168,-2.910609961,Winter,1008401.7118514248,green,1.120446346501583,7.226780790094985,13.606847405699082
6719285,Bilbao Airport,43.30110168,-2.910609961,Zomer,1008401.7118514248,orange,1.120446346501583,7.226780790094985,13.606847405699082
6827354,Barcelona International Airport,41.29710007,2.078459978,Herfst,857008.0003128212,green,0.9522311114586902,57.13386668752142,8.032001251284964
6827355,Barcelona International Airport,41.29710007,2.078459978,Lente,857008.0003128212,orange,0.9522311114586902,57.13386668752142,8.032001251284964
6827356,Barcelona International Airport,41.29710007,2.078459978,Winter,857008.0003128212,green,0.9522311114586902,57.13386668752142,8.032001251284964
6827357,Barcelona International Airport,41.29710007,2.078459978,Zomer,857008.0003128212,orange,0.9522311114586902,57.13386668752142,8.032001251284964
6935426,Ibiza Airport,38.8728981,1.37311995,Herfst,1117622.2942982898,green,1.241802549220322,14.508152953219321,30.489177193159236
6935427,Ibiza Airport,38.8728981,1.37311995,Lente,1117622.2942982898,orange,1.241802549220322,14.508152953219321,30.489177193159236
6935428,Ibiza Airport,38.8728981,1.37311995,Winter,1117622.2942982898,green,1.241802549220322,14.508152953219321,30.489177193159236
6935429,Ibiza Airport,38.8728981,1.37311995,Zomer,1117622.2942982898,orange,1.241802549220322,14.508152953219321,30.489177193159236
7043498,Jerez Airport,36.74459839,-6.060110092,Herfst,1691092.3834714757,green,1.8789915371905286,52.73949223143171,44.369533885902726
7043499,Jerez Airport,36.74459839,-6.060110092,Lente,1691092.3834714754,orange,1.8789915371905284,52.7394922314317,44.369533885901795
7043500,Jerez Airport,36.74459839,-6.060110092,Winter,1691092.3834714754,green,1.8789915371905284,52.7394922314317,44.369533885901795
7043501,Jerez Airport,36.74459839,-6.060110092,Zomer,1691092.3834714754,orange,1.8789915371905284,52.7394922314317,44.369533885901795
7151570,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,Herfst,1241871.8007073211,green,1.379857556341468,22.791453380488075,47.48720282928459
7151571,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,Lente,1241871.8007073211,orange,1.379857556341468,22.791453380488075,47.48720282928459
7151572,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,Winter,1241871.8007073211,green,1.379857556341468,22.791453380488075,47.48720282928459
7151573,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,Zomer,1241871.8007073211,orange,1.379857556341468,22.791453380488075,47.48720282928459
7259642,Málaga Airport,36.67490005,-4.499110222,Herfst,1608820.1920298785,green,1.7875779911443095,47.254679468658566,15.280768119513988
7259643,Málaga Airport,36.67490005,-4.499110222,Lente,1608820.1920298785,orange,1.7875779911443095,47.254679468658566,15.280768119513988
7259644,Málaga Airport,36.67490005,-4.499110222,Winter,1608820.1920298785,green,1.7875779911443095,47.254679468658566,15.280768119513988
7259645,Málaga Airport,36.67490005,-4.499110222,Zomer,1608820.1920298785,orange,1.7875779911443095,47.254679468658566,15.280768119513988
7367714,Menorca Airport,39.86259842,4.218649864,Herfst,913629.2190086918,green,1.0151435766763244,0.9086146005794561,54.516876034767364
7367715,Menorca Airport,39.86259842,4.218649864,Lente,913629.219008692,orange,1.0151435766763244,0.9086146005794639,54.51687603476783
7367716,Menorca Airport,39.86259842,4.218649864,Winter,913629.219008692,green,1.0151435766763244,0.9086146005794639,54.51687603476783
7367717,Menorca Airport,39.86259842,4.218649864,Zomer,913629.219008692,orange,1.0151435766763244,0.9086146005794639,54.51687603476783
7475786,Salamanca Airport,40.95209885,-5.501989841,Herfst,1332887.5651190348,green,1.4809861834655942,28.859171007935657,51.55026047613937
7475787,Salamanca Airport,40.95209885,-5.501989841,Lente,1332887.5651190348,orange,1.4809861834655942,28.859171007935657,51.55026047613937
7475788,Salamanca Airport,40.95209885,-5.501989841,Winter,1332887.5651190348,green,1.4809861834655942,28.859171007935657,51.55026047613937
7475789,Salamanca Airport,40.95209885,-5.501989841,Zomer,1332887.5651190348,orange,1.4809861834655942,28.859171007935657,51.55026047613937
7583858,Santiago de Compostela Airport,42.89630127,-8.415140152,Herfst,1423129.758422771,green,1.5812552871364123,34.875317228184734,52.51903369108401
7583859,Santiago de Compostela Airport,42.89630127,-8.415140152,Lente,1423129.758422771,orange,1.5812552871364123,34.875317228184734,52.51903369108401
